Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber
MotorImagery;2021-01-26 10:54:35.4185;14078;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7124;17
Rest;2021-01-26 10:54:36.0598;14125;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6469;17
MotorImagery;2021-01-26 10:54:37.2121;14208;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7522;18
Rest;2021-01-26 10:54:38.1041;14272;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6918;18
InputWindowChange;2021-01-26 10:54:45.7100;14820;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;15;-21.8659;0.0000;Running;1.0442;7;0.3500;4;0.1000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-26 10:54:46.7428;14892;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;15;-24.8144;0.0000;Running;1.0442;7;0.3500;4;0.1000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:54:46.7438;14892;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;15;-24.8144;0.0000;Running;1.0442;7;0.3500;3;0.1500;0;0.3000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL
MotorImagery;2021-01-26 10:54:46.8117;14897;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7419;19
Rest;2021-01-26 10:54:47.3103;14933;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6914;19
InputWindowChange;2021-01-26 10:54:57.3146;15642;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;16;-24.8144;0.0000;Running;1.4638;7;0.3500;3;0.1500;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
